Trigger,Applies To,Learning Type,Sent To,Timestamp,Priority Level,Typical Response Time,Contextual Summary,Tone,Response Likelihood,Escalation Level,Feedback,Compliance Check,Actionable Links,Comments,Send Now,Employee Number,Previous Records Present,Most Active Day
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-11-16 09:51:02,Low,2,Summary of the pending request.,Neutral,0.4292388931033337,Level 2,Neutral,Pass,http://example.com/action,"Noted, will review the details soon.",1,6779,No,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-28 09:51:02,High,2,Summary of the pending request.,Urgent,0.2367361842868705,Level 1,Positive,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",1,6109,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-27 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.4571136166364486,None,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",0,3116,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-01 09:51:02,High,6,Summary of the pending request.,Friendly,0.0520856082432554,Level 1,Positive,Pass,http://example.com/action,"Great reminder, very helpful!",0,8489,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-31 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.9621313800833424,Level 1,Positive,Pass,http://example.com/action,Appreciate the clarity in this reminder.,1,5971,Yes,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-24 09:51:02,High,4,Summary of the pending request.,Friendly,0.6546079661210219,Level 2,Neutral,Fail,http://example.com/action,"Great reminder, very helpful!",0,6490,Yes,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-12-06 09:51:02,Medium,7,Summary of the pending request.,Neutral,0.0924639965268636,Level 2,Positive,Pass,http://example.com/action,"Okay, I will check this out.",0,3717,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-01 09:51:02,High,4,Summary of the pending request.,Neutral,0.6313851200254293,Level 1,Negative,Pass,http://example.com/action,"Received the reminder, action pending.",0,3336,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-06 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.8042325386045106,Level 1,Positive,Pass,http://example.com/action,"Noted, will review the details soon.",0,5820,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-19 09:51:02,Low,7,Summary of the pending request.,Neutral,0.0711797601534792,None,Neutral,Pass,http://example.com/action,"Noted, will review the details soon.",0,4744,Yes,Monday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-15 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.2547225061385819,Level 2,Neutral,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,3472,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-20 09:51:02,Low,3,Summary of the pending request.,Friendly,0.22136720007399,None,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,1077,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-16 09:51:02,High,2,Summary of the pending request.,Neutral,0.7026987728656047,Level 1,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",1,9389,No,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-10 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.4829448181754194,Level 2,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",0,2645,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-15 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.1297712297137704,None,Positive,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,5146,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-15 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.8426019273641283,Level 2,Neutral,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,4507,No,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-20 09:51:02,Low,2,Summary of the pending request.,Friendly,0.3250495344260548,Level 2,Neutral,Fail,http://example.com/action,"Great reminder, very helpful!",1,1536,No,Saturday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-12-05 09:51:02,High,1,Summary of the pending request.,Friendly,0.7644434453261942,Level 2,Negative,Pass,http://example.com/action,"Always good to get these reminders, thank you!",1,2917,No,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-11 09:51:02,High,6,Summary of the pending request.,Urgent,0.908411445212606,None,Positive,Pass,http://example.com/action,Important to address this as soon as possible.,0,1009,Yes,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-25 09:51:02,High,3,Summary of the pending request.,Friendly,0.2886016970390956,Level 1,Negative,Fail,http://example.com/action,"Always good to get these reminders, thank you!",1,6031,No,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-26 09:51:02,High,7,Summary of the pending request.,Neutral,0.0993546246061303,Level 2,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,2065,No,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-02-04 09:51:02,Low,1,Summary of the pending request.,Urgent,0.6427496480093358,None,Neutral,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",1,6342,Yes,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-31 09:51:02,High,2,Summary of the pending request.,Friendly,0.4209605569100791,None,Negative,Pass,http://example.com/action,"Great reminder, very helpful!",1,6984,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-18 09:51:02,Low,1,Summary of the pending request.,Friendly,0.5980437977942729,Level 1,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",1,8221,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-17 09:51:02,High,3,Summary of the pending request.,Neutral,0.1581577543446697,None,Negative,Fail,http://example.com/action,"Noted, will review the details soon.",1,1918,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-13 09:51:02,Low,3,Summary of the pending request.,Friendly,0.3542869886448128,Level 2,Negative,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",1,2625,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-15 09:51:02,Medium,1,Summary of the pending request.,Neutral,0.955313717679242,None,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",1,9070,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-06 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.5567181181052345,Level 2,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,9058,No,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-18 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.2142368073704386,None,Negative,Fail,http://example.com/action,"Received the reminder, action pending.",0,7949,Yes,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-01-18 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.2994660802440647,None,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",1,3635,No,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-19 09:51:02,High,7,Summary of the pending request.,Friendly,0.6499606842941816,None,Positive,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,3674,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-04-07 09:51:02,Low,1,Summary of the pending request.,Urgent,0.9451881112008982,Level 2,Positive,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6083,No,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-17 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.6827303541015414,Level 2,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,4701,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-06 09:51:02,Medium,7,Summary of the pending request.,Urgent,0.361124912289528,None,Negative,Fail,http://example.com/action,"Immediate action required, cannot delay!",0,7722,No,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-24 09:51:02,High,3,Summary of the pending request.,Neutral,0.9039743381374582,None,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",1,3371,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-02-25 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.2246973370315573,Level 1,Positive,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,4345,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-04-22 09:51:02,High,7,Summary of the pending request.,Friendly,0.2711327219979758,Level 2,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",0,9666,No,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-04-23 09:51:02,Low,3,Summary of the pending request.,Friendly,0.9774793482325116,None,Negative,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",1,5926,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-05-04 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.5013673018728276,None,Neutral,Pass,http://example.com/action,"Noted, will review the details soon.",0,3645,No,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-18 09:51:02,Low,1,Summary of the pending request.,Urgent,0.9985867550893268,Level 1,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,5670,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-19 09:51:02,High,5,Summary of the pending request.,Urgent,0.5294598815362896,Level 1,Neutral,Fail,http://example.com/action,"Immediate action required, cannot delay!",0,6959,Yes,Saturday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-25 09:51:02,High,5,Summary of the pending request.,Urgent,0.4464410662486023,Level 2,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,5422,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-15 09:51:02,Medium,1,Summary of the pending request.,Neutral,0.955313717679242,None,Neutral,Fail,http://example.com/action,"Received the reminder, action pending.",1,9070,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-03 09:51:02,Medium,3,Summary of the pending request.,Friendly,0.009397431454871,Level 1,Neutral,Pass,http://example.com/action,Appreciate the clarity in this reminder.,1,6415,Yes,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-01-17 09:51:02,Medium,7,Summary of the pending request.,Neutral,0.0333645312456324,Level 1,Negative,Pass,http://example.com/action,"Reminder received, will look into it.",0,7413,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-16 09:51:02,High,3,Summary of the pending request.,Neutral,0.6738063924730165,Level 1,Negative,Fail,http://example.com/action,"Okay, I will check this out.",1,7456,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-12 09:51:02,Medium,2,Summary of the pending request.,Urgent,0.2408715924472331,Level 2,Positive,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,6870,Yes,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-25 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.2671726630669048,None,Neutral,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,4490,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-03-29 09:51:02,High,4,Summary of the pending request.,Neutral,0.3710115154868827,Level 2,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,5227,No,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-12-06 09:51:02,Medium,7,Summary of the pending request.,Neutral,0.0924639965268636,Level 2,Positive,Pass,http://example.com/action,"Received the reminder, action pending.",0,3717,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-19 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.9808181386597852,Level 1,Positive,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,1235,No,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-18 09:51:02,High,7,Summary of the pending request.,Urgent,0.8857903856181051,Level 1,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,0,3443,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-02 09:51:02,High,4,Summary of the pending request.,Neutral,0.5569850322212279,Level 2,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",0,9519,Yes,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-03-19 09:51:02,High,1,Summary of the pending request.,Neutral,0.7899846642347539,None,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,7565,No,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-03 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.3650155373952375,Level 2,Positive,Pass,http://example.com/action,"Received the reminder, action pending.",1,4054,Yes,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-12-20 09:51:02,High,1,Summary of the pending request.,Friendly,0.1931297883277086,Level 1,Neutral,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,8943,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-06-24 09:51:02,Low,7,Summary of the pending request.,Friendly,0.921192528967638,Level 1,Positive,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,1260,Yes,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-02-04 09:51:02,Low,1,Summary of the pending request.,Urgent,0.6427496480093358,None,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,6342,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-03-25 09:51:02,High,5,Summary of the pending request.,Urgent,0.7522544698468651,Level 2,Neutral,Pass,http://example.com/action,Important to address this as soon as possible.,0,7305,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-13 09:51:02,Medium,1,Summary of the pending request.,Friendly,0.6294457069519983,None,Positive,Pass,http://example.com/action,"Great reminder, very helpful!",1,2828,No,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-13 09:51:02,High,4,Summary of the pending request.,Friendly,0.095385105794528,None,Neutral,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,4572,No,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-07-02 09:51:02,Low,6,Summary of the pending request.,Neutral,0.133409589859364,Level 1,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,1345,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-18 09:51:02,High,1,Summary of the pending request.,Urgent,0.2559682220017298,None,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,2120,Yes,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-12-04 09:51:02,High,6,Summary of the pending request.,Urgent,0.7920793643629641,Level 1,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,6122,Yes,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-04-18 09:51:02,High,6,Summary of the pending request.,Friendly,0.2993787521999779,Level 2,Positive,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,5632,No,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-09-13 09:51:02,Low,6,Summary of the pending request.,Neutral,0.1547968252740641,Level 1,Positive,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,9905,No,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-22 09:51:02,High,3,Summary of the pending request.,Neutral,0.1802629228768446,None,Neutral,Fail,http://example.com/action,"Okay, I will check this out.",1,7359,Yes,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-11-19 09:51:02,Low,6,Summary of the pending request.,Neutral,0.8117692852773923,Level 2,Positive,Fail,http://example.com/action,"Okay, I will check this out.",0,2997,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-21 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.4129601097889264,None,Neutral,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",0,9766,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-20 09:51:02,Low,3,Summary of the pending request.,Friendly,0.22136720007399,None,Negative,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",1,1077,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-07 09:51:02,High,2,Summary of the pending request.,Friendly,0.5091225162251821,Level 2,Positive,Pass,http://example.com/action,"Great reminder, very helpful!",1,8112,No,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-01 09:51:02,High,4,Summary of the pending request.,Friendly,0.6515094894336864,Level 1,Positive,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,8041,No,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-07 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.6066615704797627,Level 1,Neutral,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,1876,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-09 09:51:02,Medium,2,Summary of the pending request.,Urgent,0.3306840968317855,Level 2,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,1,2990,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-04-26 09:51:02,High,6,Summary of the pending request.,Urgent,0.0458243836556622,None,Neutral,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,9717,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-02 09:51:02,Low,6,Summary of the pending request.,Neutral,0.3809043988185208,Level 2,Negative,Fail,http://example.com/action,"Okay, I will check this out.",0,3712,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-02 09:51:02,High,4,Summary of the pending request.,Friendly,0.37396148767902,Level 1,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,1094,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-25 09:51:02,Low,1,Summary of the pending request.,Neutral,0.7801162418714427,Level 1,Negative,Pass,http://example.com/action,"Received the reminder, action pending.",1,1232,No,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-31 09:51:02,Medium,6,Summary of the pending request.,Urgent,0.7669590009163111,Level 1,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,4417,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-06-19 09:51:02,High,7,Summary of the pending request.,Urgent,0.5181021329240163,Level 1,Positive,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,4797,No,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-07 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.9241592666085664,Level 2,Neutral,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,2481,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-17 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.6827303541015414,Level 2,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,4701,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-31 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.9621313800833424,Level 1,Positive,Pass,http://example.com/action,"Great reminder, very helpful!",1,5971,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-14 09:51:02,High,6,Summary of the pending request.,Neutral,0.5362280914547007,Level 1,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,1055,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-27 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.8233604373757843,None,Neutral,Fail,http://example.com/action,"Reminder received, will look into it.",0,6182,No,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-05 09:51:02,High,4,Summary of the pending request.,Neutral,0.3771695684842872,Level 1,Positive,Pass,http://example.com/action,"Received the reminder, action pending.",0,9038,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-02-15 09:51:02,High,3,Summary of the pending request.,Neutral,0.8808466173578056,Level 1,Positive,Pass,http://example.com/action,"Noted, will review the details soon.",1,2342,No,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-06-07 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.2421965601412244,Level 2,Negative,Pass,http://example.com/action,Appreciate the clarity in this reminder.,1,8970,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-12-04 09:51:02,High,6,Summary of the pending request.,Urgent,0.7920793643629641,Level 1,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,6122,Yes,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-15 09:51:02,Medium,2,Summary of the pending request.,Neutral,0.5149801340822221,None,Neutral,Pass,http://example.com/action,"Received the reminder, action pending.",1,3872,No,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-05 09:51:02,High,1,Summary of the pending request.,Neutral,0.8444283886858833,None,Negative,Pass,http://example.com/action,"Noted, will review the details soon.",1,8863,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-20 09:51:02,Medium,1,Summary of the pending request.,Neutral,0.864910584051879,None,Negative,Fail,http://example.com/action,"Noted, will review the details soon.",1,2619,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-22 09:51:02,High,6,Summary of the pending request.,Friendly,0.9052075743133589,None,Negative,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,4310,Yes,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-11 09:51:02,Low,6,Summary of the pending request.,Neutral,0.1898341012233597,None,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",0,2854,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-26 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.4157742341031559,None,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,9434,Yes,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-15 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.2547225061385819,Level 2,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,0,3472,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-10 09:51:02,High,3,Summary of the pending request.,Neutral,0.1308782821274564,Level 2,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",1,7229,No,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-26 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.9371597632022476,Level 2,Positive,Fail,http://example.com/action,Important to address this as soon as possible.,1,9477,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-25 09:51:02,Low,4,Summary of the pending request.,Neutral,0.9053364910793232,None,Positive,Fail,http://example.com/action,"Received the reminder, action pending.",0,4596,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-09 09:51:02,High,6,Summary of the pending request.,Neutral,0.9972624040230418,Level 2,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,9795,No,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-22 09:51:02,High,1,Summary of the pending request.,Neutral,0.5054444630237716,None,Positive,Fail,http://example.com/action,"Okay, I will check this out.",1,5021,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-11-13 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.3789731189769161,Level 1,Neutral,Fail,http://example.com/action,"Immediate action required, cannot delay!",1,6750,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-18 09:51:02,High,1,Summary of the pending request.,Urgent,0.2559682220017298,None,Negative,Pass,http://example.com/action,Important to address this as soon as possible.,1,2120,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-06 09:51:02,High,3,Summary of the pending request.,Friendly,0.2984991611902939,Level 1,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",1,8973,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-24 09:51:02,Low,5,Summary of the pending request.,Friendly,0.8183824890901529,None,Neutral,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,3482,No,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-06 09:51:02,Low,1,Summary of the pending request.,Urgent,0.2679720308946144,Level 1,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,1832,Yes,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-07 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.037607245571092,Level 1,Neutral,Pass,http://example.com/action,"Received the reminder, action pending.",0,6373,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-26 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.7114009771190007,Level 2,Positive,Fail,http://example.com/action,"Immediate action required, cannot delay!",0,4756,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-02 09:51:02,Low,6,Summary of the pending request.,Neutral,0.3809043988185208,Level 2,Negative,Fail,http://example.com/action,"Received the reminder, action pending.",0,3712,Yes,Saturday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-15 09:51:02,Low,4,Summary of the pending request.,Neutral,0.005896083583993,Level 1,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",0,3590,Yes,Thursday
